year,class,rank,bib,team,time,time_seconds,source_url
2025,bedrift og mosjonslag mix flest menn,1098,9007,Vedum Consulting AS,1:19:30,4770.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1099,6220,KPMG Accounting Vikings (KPMG AS),1:19:31,4771.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1100,7233,Nordea – Cash Management (Nordea),1:19:31,4771.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1101,7215,Å Energi 6 (Å Energi),1:19:31,4771.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1102,12223,Kahoot! 3 (Kahoot! AS),1:19:31,4771.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1103,6460,DPS Nedre (Ahus),1:19:32,4772.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1104,6225,KPMG AS Mid-Market (KPMG AS),1:19:34,4774.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1105,5875,Gangsås Næringspark bedriftsidrettslag (Harstadbygg Entreprenør AS),1:19:34,4774.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1106,7917,Svenn,1:19:34,4774.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1107,6261,Deloitte 6 (Deloitte BIL),1:19:35,4775.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1108,7810,Bane NOR Jernbaneskolen (Bane NOR),1:19:35,4775.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1109,6652,Team Holmen (Holmen skole),1:19:35,4775.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1110,7801,Loyalty AS – Lederteam (Loyalty AS),1:19:35,4775.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1111,10615,Eagle Technology (Eagle Technology AS),1:19:35,4775.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
2025,bedrift og mosjonslag mix flest menn,1112,8848,Glasspaper (Glasspaper Group),1:19:36,4776.0,https://www.sportsidioten.no/resultater/bedrift-og-mosjonslag-mix-flest-menn-holmenkollstafetten-2025/
